iter	Passed	Remaining
0	168	84058
1	192	47900
2	214	35552
3	237	29511
4	256	25426
5	279	22997
6	303	21403
7	323	19884
8	342	18697
9	362	17774
10	383	17037
11	411	16722
12	432	16206
13	453	15752
14	473	15318
15	496	15007
16	517	14693
17	535	14340
18	561	14217
19	582	13983
20	602	13735
21	623	13550
22	646	13412
23	667	13233
24	687	13061
25	752	13710
26	804	14085
27	835	14085
28	859	13963
29	879	13771
30	904	13683
31	922	13487
32	940	13314
33	958	13141
34	976	12971
35	993	12806
36	1011	12655
37	1030	12532
38	1048	12389
39	1066	12266
40	1086	12160
41	1105	12054
42	1132	12030
43	1152	11947
44	1171	11848
45	1193	11782
46	1212	11689
47	1233	11614
48	1254	11550
49	1274	11466
50	1294	11399
51	1319	11371
52	1338	11291
53	1364	11268
54	1390	11247
55	1412	11201
56	1432	11136
57	1450	11056
58	1469	10983
59	1488	10919
60	1518	10926
61	1539	10872
62	1559	10819
63	1577	10745
64	1595	10680
65	1613	10610
66	1630	10535
67	1649	10479
68	1669	10425
69	1687	10365
70	1704	10301
71	1721	10235
72	1742	10191
73	1773	10209
74	1792	10158
75	1811	10104
76	1827	10041
77	1847	9997
78	1867	9951
79	1893	9938
80	1916	9912
81	1935	9866
82	1954	9818
83	1974	9779
84	1997	9751
85	2017	9714
86	2037	9671
87	2073	9706
88	2094	9670
89	2114	9632
90	2133	9590
91	2152	9545
92	2170	9500
93	2196	9485
94	2216	9449
95	2236	9412
96	2257	9380
97	2277	9342
98	2299	9315
99	2322	9291
100	2342	9252
101	2363	9220
102	2379	9172
103	2399	9137
104	2420	9104
105	2438	9065
106	2460	9035
107	2480	9004
108	2497	8960
109	2515	8920
110	2536	8887
111	2554	8851
112	2573	8813
113	2592	8779
114	2612	8745
115	2630	8707
116	2649	8672
117	2666	8632
118	2686	8599
119	2705	8567
120	2724	8534
121	2744	8503
122	2762	8466
123	2783	8439
124	2807	8421
125	2831	8403
126	2853	8381
127	2877	8361
128	2897	8334
129	2917	8303
130	2938	8275
131	2962	8258
132	2981	8228
133	3001	8197
134	3020	8166
135	3043	8144
136	3064	8119
137	3099	8129
138	3120	8105
139	3141	8079
140	3163	8053
141	3185	8031
142	3206	8006
143	3227	7978
144	3246	7948
145	3266	7919
146	3283	7884
147	3302	7853
148	3320	7822
149	3339	7791
150	3360	7767
151	3379	7737
152	3398	7708
153	3415	7674
154	3436	7648
155	3455	7619
156	3472	7585
157	3491	7557
158	3511	7530
159	3532	7506
160	3561	7500
161	3585	7481
162	3603	7450
163	3622	7422
164	3639	7389
165	3658	7360
166	3676	7331
167	3693	7298
168	3710	7268
169	3730	7241
170	3748	7212
171	3771	7192
172	3802	7188
173	3822	7161
174	3853	7155
175	3873	7130
176	3892	7102
177	3912	7077
178	3931	7050
179	3950	7023
180	3974	7004
181	3993	6976
182	4011	6949
183	4030	6921
184	4048	6892
185	4068	6869
186	4086	6839
187	4107	6817
188	4127	6791
189	4148	6768
190	4168	6743
191	4187	6716
192	4207	6692
193	4230	6672
194	4249	6646
195	4267	6619
196	4289	6597
197	4307	6570
198	4326	6544
199	4344	6516
200	4363	6490
201	4382	6465
202	4399	6436
203	4418	6411
204	4438	6386
205	4455	6358
206	4474	6333
207	4492	6307
208	4512	6283
209	4530	6256
210	4550	6232
211	4570	6208
212	4587	6181
213	4606	6156
214	4637	6147
215	4656	6123
216	4677	6099
217	4702	6082
218	4723	6060
219	4744	6038
220	4765	6015
221	4782	5989
222	4803	5966
223	4826	5947
224	4847	5924
225	4866	5900
226	4895	5887
227	4915	5864
228	4934	5839
229	4954	5816
230	4972	5790
231	4990	5764
232	5008	5739
233	5025	5713
234	5043	5686
235	5064	5665
236	5084	5641
237	5102	5617
238	5124	5596
239	5148	5577
240	5169	5555
241	5190	5534
242	5209	5509
243	5227	5484
244	5246	5460
245	5268	5439
246	5287	5415
247	5304	5390
248	5321	5364
249	5341	5341
250	5357	5315
251	5378	5293
252	5407	5279
253	5428	5258
254	5448	5235
255	5470	5214
256	5491	5192
257	5515	5173
258	5535	5150
259	5555	5128
260	5575	5105
261	5595	5083
262	5614	5059
263	5638	5040
264	5657	5017
265	5678	4995
266	5700	4974
267	5721	4952
268	5740	4929
269	5757	4904
270	5776	4881
271	5794	4857
272	5810	4831
273	5826	4805
274	5843	4781
275	5858	4754
276	5874	4729
277	5891	4704
278	5906	4678
279	5923	4654
280	5939	4628
281	5953	4602
282	5970	4578
283	5985	4552
284	6000	4526
285	6015	4500
286	6028	4474
287	6041	4447
288	6056	4422
289	6081	4403
290	6098	4380
291	6112	4354
292	6125	4327
293	6141	4302
294	6155	4277
295	6171	4253
296	6186	4228
297	6202	4204
298	6216	4179
299	6234	4156
300	6247	4130
301	6261	4105
302	6277	4081
303	6292	4057
304	6307	4032
305	6323	4008
306	6345	3989
307	6361	3965
308	6377	3942
309	6393	3918
310	6407	3894
311	6423	3870
312	6437	3846
313	6450	3821
314	6465	3797
315	6480	3773
316	6496	3750
317	6511	3726
318	6527	3703
319	6542	3680
320	6558	3657
321	6574	3634
322	6590	3611
323	6604	3587
324	6617	3563
325	6631	3539
326	6643	3514
327	6659	3492
328	6675	3469
329	6691	3447
330	6706	3424
331	6722	3401
332	6738	3379
333	6755	3357
334	6769	3334
335	6784	3311
336	6800	3289
337	6818	3267
338	6833	3245
339	6846	3222
340	6859	3198
341	6874	3176
342	6892	3154
343	6906	3131
344	6931	3114
345	6947	3092
346	6964	3070
347	6979	3048
348	6996	3027
349	7012	3005
350	7029	2984
351	7043	2961
352	7059	2939
353	7074	2917
354	7087	2895
355	7100	2872
356	7117	2851
357	7133	2829
